id,depth,dip_angle,dip_azimuth,feature_type,auto_picked
169,7504.806214,14.511766,150.222565,Bedding,1
170,7505.489664,39.506131,70.061922,Bedding,1
171,7506.173035,60.707293,140.017580,Bedding,1
172,7506.855676,29.417491,120.095541,Bedding,1
173,7507.540506,75.469388,160.018096,Bedding,1
174,7508.223867,20.800120,39.914854,Bedding,1
175,7508.908395,14.499276,49.896587,Bedding,1
176,7509.587764,20.889736,29.899698,Bedding,1
177,7510.273604,1.066981,107.621368,Bedding,1
178,7510.956572,75.470770,330.008100,Bedding,1
179,7511.640017,39.478695,189.988160,Bedding,1
180,7512.323647,2.977430,188.933921,Bedding,1
181,7513.005314,9.934307,230.152170,Bedding,1
182,7513.689304,10.097375,319.842006,Bedding,1
183,7514.372840,6.935748,170.031252,Bedding,1
184,7515.056636,20.911181,80.250102,Bedding,1
185,7515.739289,29.329381,40.106279,Bedding,1
186,7516.424085,79.997625,170.003551,Bedding,1
187,7517.107378,10.109050,30.301267,Bedding,1
188,7517.791187,10.109801,50.022231,Bedding,1
189,7518.475207,2.141864,190.328304,Bedding,1
190,7519.157217,9.996139,19.973002,Bedding,1
191,7519.839136,20.940814,10.169913,Bedding,1
192,7520.523171,50.501624,189.979340,Bedding,1
193,7521.206912,60.735199,200.033439,Bedding,1
194,7521.893268,0.018105,128.250421,Bedding,1
195,7522.573141,3.204033,240.029744,Bedding,1
196,7523.257162,50.505349,19.987522,Bedding,1
197,7523.940711,60.728348,169.982738,Bedding,1
198,7524.622972,50.486866,180.037274,Bedding,1
199,7525.306662,39.458326,149.953368,Bedding,1
200,7525.990072,4.635411,229.186406,Bedding,1
201,7526.671341,75.459460,159.984171,Bedding,1
